Participant,Clip,CausalRating,ClipOrderCausal,CounterfactualRating,ClipOrderCounterfactual,Experiment
12,1,-2,3,0,23,causal_before_counterfactual
12,2,-100,9,0,36,causal_before_counterfactual
12,3,-100,19,0,28,causal_before_counterfactual
12,4,-54,12,0,30,causal_before_counterfactual
12,5,-96,8,100,31,causal_before_counterfactual
12,6,-100,6,0,26,causal_before_counterfactual
12,7,-52,15,0,37,causal_before_counterfactual
12,8,48,13,0,33,causal_before_counterfactual
12,9,-50,14,0,38,causal_before_counterfactual
12,10,44,17,0,24,causal_before_counterfactual
12,11,-100,11,100,39,causal_before_counterfactual
12,12,15,7,100,27,causal_before_counterfactual
12,13,100,4,0,40,causal_before_counterfactual
12,14,97,16,0,34,causal_before_counterfactual
12,15,100,18,100,25,causal_before_counterfactual
12,16,47,10,1,35,causal_before_counterfactual
12,17,96,5,100,32,causal_before_counterfactual
12,18,49,20,100,29,causal_before_counterfactual
12,19,1,2,100,21,causal_before_counterfactual
12,20,100,1,100,22,causal_before_counterfactual
13,1,1,14,0,30,causal_before_counterfactual
13,2,0,9,0,34,causal_before_counterfactual
13,3,-96,5,100,31,causal_before_counterfactual
13,4,-100,7,100,25,causal_before_counterfactual
13,5,-100,16,100,37,causal_before_counterfactual
13,6,-100,18,100,38,causal_before_counterfactual
13,7,-3,11,0,33,causal_before_counterfactual
13,8,100,17,0,23,causal_before_counterfactual
13,9,-100,4,100,35,causal_before_counterfactual
13,10,98,3,89,29,causal_before_counterfactual
13,11,-100,13,100,32,causal_before_counterfactual
13,12,100,8,100,27,causal_before_counterfactual
13,13,100,15,1,40,causal_before_counterfactual
13,14,100,12,0,36,causal_before_counterfactual
13,15,100,19,80,26,causal_before_counterfactual
13,16,100,20,0,39,causal_before_counterfactual
13,17,100,6,100,24,causal_before_counterfactual
13,18,100,10,81,28,causal_before_counterfactual
13,19,-100,1,100,22,causal_before_counterfactual
13,20,99,2,0,21,causal_before_counterfactual
14,1,-71,16,23,26,causal_before_counterfactual
14,2,-49,3,5,23,causal_before_counterfactual
14,3,-51,11,32,33,causal_before_counterfactual
14,4,-86,5,76,36,causal_before_counterfactual
14,5,-40,9,90,37,causal_before_counterfactual
14,6,-64,13,93,39,causal_before_counterfactual
14,7,0,6,29,35,causal_before_counterfactual
14,8,54,4,28,34,causal_before_counterfactual
14,9,-11,18,63,31,causal_before_counterfactual
14,10,75,15,38,25,causal_before_counterfactual
14,11,-24,7,73,30,causal_before_counterfactual
14,12,66,19,91,40,causal_before_counterfactual
14,13,65,17,32,27,causal_before_counterfactual
14,14,71,20,9,29,causal_before_counterfactual
14,15,73,10,22,24,causal_before_counterfactual
14,16,67,14,60,32,causal_before_counterfactual
14,17,95,8,91,38,causal_before_counterfactual
14,18,86,12,80,28,causal_before_counterfactual
14,19,-55,2,9,21,causal_before_counterfactual
14,20,36,1,93,22,causal_before_counterfactual
15,1,0,16,0,34,causal_before_counterfactual
15,2,0,18,0,29,causal_before_counterfactual
15,3,0,8,0,25,causal_before_counterfactual
15,4,0,5,27,27,causal_before_counterfactual
15,5,-100,7,100,39,causal_before_counterfactual
15,6,-100,4,100,23,causal_before_counterfactual
15,7,0,6,0,35,causal_before_counterfactual
15,8,100,12,0,36,causal_before_counterfactual
15,9,0,3,71,28,causal_before_counterfactual
15,10,100,11,100,37,causal_before_counterfactual
15,11,-100,19,100,33,causal_before_counterfactual
15,12,0,15,100,32,causal_before_counterfactual
15,13,100,14,0,26,causal_before_counterfactual
15,14,100,20,0,24,causal_before_counterfactual
15,15,49,9,77,30,causal_before_counterfactual
15,16,50,10,0,31,causal_before_counterfactual
15,17,53,17,100,38,causal_before_counterfactual
15,18,0,13,100,40,causal_before_counterfactual
15,19,-100,2,100,22,causal_before_counterfactual
15,20,100,1,100,21,causal_before_counterfactual
16,1,-92,5,2,24,causal_before_counterfactual
16,2,-87,16,4,28,causal_before_counterfactual
16,3,-92,11,92,27,causal_before_counterfactual
16,4,-81,3,15,33,causal_before_counterfactual
16,5,-87,9,97,25,causal_before_counterfactual
16,6,-93,6,88,36,causal_before_counterfactual
16,7,-62,20,5,38,causal_before_counterfactual
16,8,92,14,4,40,causal_before_counterfactual
16,9,-29,13,11,32,causal_before_counterfactual
16,10,-30,17,25,23,causal_before_counterfactual
16,11,-91,10,92,37,causal_before_counterfactual
16,12,-21,18,91,34,causal_before_counterfactual
16,13,86,8,6,39,causal_before_counterfactual
16,14,95,12,3,26,causal_before_counterfactual
16,15,31,15,71,30,causal_before_counterfactual
16,16,3,7,9,31,causal_before_counterfactual
16,17,32,4,4,29,causal_before_counterfactual
16,18,65,19,93,35,causal_before_counterfactual
16,19,-91,2,96,21,causal_before_counterfactual
16,20,83,1,59,22,causal_before_counterfactual
17,1,-19,4,0,26,causal_before_counterfactual
17,2,0,11,0,25,causal_before_counterfactual
17,3,-29,9,12,29,causal_before_counterfactual
17,4,0,14,73,33,causal_before_counterfactual
17,5,-100,8,100,38,causal_before_counterfactual
17,6,-77,10,100,27,causal_before_counterfactual
17,7,0,16,0,24,causal_before_counterfactual
17,8,73,17,17,40,causal_before_counterfactual
17,9,0,13,71,39,causal_before_counterfactual
17,10,94,20,51,37,causal_before_counterfactual
17,11,-100,5,100,32,causal_before_counterfactual
17,12,0,3,100,34,causal_before_counterfactual
17,13,100,12,0,36,causal_before_counterfactual
17,14,100,19,0,31,causal_before_counterfactual
17,15,86,18,25,28,causal_before_counterfactual
17,16,100,15,21,23,causal_before_counterfactual
17,17,100,6,100,30,causal_before_counterfactual
17,18,0,7,100,35,causal_before_counterfactual
17,19,-96,2,100,21,causal_before_counterfactual
17,20,44,1,73,22,causal_before_counterfactual
18,1,1,6,0,28,causal_before_counterfactual
18,2,-1,11,0,33,causal_before_counterfactual
18,3,-65,16,100,36,causal_before_counterfactual
18,4,-100,5,91,25,causal_before_counterfactual
18,5,-100,18,100,37,causal_before_counterfactual
18,6,-100,8,100,30,causal_before_counterfactual
18,7,0,14,0,38,causal_before_counterfactual
18,8,100,15,0,27,causal_before_counterfactual
18,9,-91,10,26,26,causal_before_counterfactual
18,10,65,12,13,35,causal_before_counterfactual
18,11,-100,9,100,32,causal_before_counterfactual
18,12,1,17,100,39,causal_before_counterfactual
18,13,100,20,0,29,causal_before_counterfactual
18,14,100,13,0,40,causal_before_counterfactual
18,15,1,7,58,23,causal_before_counterfactual
18,16,67,3,30,34,causal_before_counterfactual
18,17,0,19,100,24,causal_before_counterfactual
18,18,19,4,100,31,causal_before_counterfactual
18,19,-99,1,100,21,causal_before_counterfactual
18,20,1,2,100,22,causal_before_counterfactual
19,1,3,4,0,40,causal_before_counterfactual
19,2,-100,16,24,33,causal_before_counterfactual
19,3,-72,8,79,37,causal_before_counterfactual
19,4,-93,17,100,36,causal_before_counterfactual
19,5,-100,3,100,31,causal_before_counterfactual
19,6,9,11,84,34,causal_before_counterfactual
19,7,23,10,18,24,causal_before_counterfactual
19,8,100,14,84,23,causal_before_counterfactual
19,9,-52,19,16,27,causal_before_counterfactual
19,10,100,13,40,26,causal_before_counterfactual
19,11,-2,9,18,29,causal_before_counterfactual
19,12,100,6,69,32,causal_before_counterfactual
19,13,100,12,6,25,causal_before_counterfactual
19,14,100,18,0,39,causal_before_counterfactual
19,15,100,7,66,30,causal_before_counterfactual
19,16,100,5,0,35,causal_before_counterfactual
19,17,100,15,33,28,causal_before_counterfactual
19,18,-47,20,100,38,causal_before_counterfactual
19,19,-96,2,28,21,causal_before_counterfactual
19,20,100,1,66,22,causal_before_counterfactual
20,1,0,7,89,39,causal_before_counterfactual
20,2,0,5,11,27,causal_before_counterfactual
20,3,-41,9,71,28,causal_before_counterfactual
20,4,-36,14,78,24,causal_before_counterfactual
20,5,-70,17,91,29,causal_before_counterfactual
20,6,-72,12,86,40,causal_before_counterfactual
20,7,0,8,15,32,causal_before_counterfactual
20,8,41,20,16,30,causal_before_counterfactual
20,9,-56,6,86,36,causal_before_counterfactual
20,10,45,16,21,23,causal_before_counterfactual
20,11,-53,15,82,33,causal_before_counterfactual
20,12,0,19,85,25,causal_before_counterfactual
20,13,69,10,10,26,causal_before_counterfactual
20,14,70,11,16,37,causal_before_counterfactual
20,15,63,18,81,31,causal_before_counterfactual
20,16,69,3,23,38,causal_before_counterfactual
20,17,0,13,85,34,causal_before_counterfactual
20,18,0,4,88,35,causal_before_counterfactual
20,19,76,1,72,21,causal_before_counterfactual
20,20,70,2,95,22,causal_before_counterfactual
21,1,0,14,0,37,causal_before_counterfactual
21,2,0,16,27,38,causal_before_counterfactual
21,3,0,17,0,23,causal_before_counterfactual
21,4,-100,6,59,33,causal_before_counterfactual
21,5,-100,11,100,31,causal_before_counterfactual
21,6,-100,5,100,40,causal_before_counterfactual
21,7,0,18,0,25,causal_before_counterfactual
21,8,100,9,0,36,causal_before_counterfactual
21,9,-100,10,62,32,causal_before_counterfactual
21,10,100,20,26,24,causal_before_counterfactual
21,11,-100,13,76,27,causal_before_counterfactual
21,12,0,12,100,29,causal_before_counterfactual
21,13,100,7,0,30,causal_before_counterfactual
21,14,100,15,0,26,causal_before_counterfactual
21,15,100,4,25,35,causal_before_counterfactual
21,16,100,19,74,39,causal_before_counterfactual
21,17,0,3,100,28,causal_before_counterfactual
21,18,0,8,100,34,causal_before_counterfactual
21,19,-100,2,100,22,causal_before_counterfactual
21,20,0,1,100,21,causal_before_counterfactual
22,1,45,18,1,37,causal_before_counterfactual
22,2,-61,3,7,25,causal_before_counterfactual
22,3,-8,14,77,26,causal_before_counterfactual
22,4,-98,10,87,24,causal_before_counterfactual
22,5,-88,11,98,38,causal_before_counterfactual
22,6,-2,13,95,39,causal_before_counterfactual
22,7,-16,20,4,31,causal_before_counterfactual
22,8,94,17,2,34,causal_before_counterfactual
22,9,-89,19,10,35,causal_before_counterfactual
22,10,33,16,2,23,causal_before_counterfactual
22,11,-21,8,95,40,causal_before_counterfactual
22,12,95,15,12,28,causal_before_counterfactual
22,13,95,7,2,33,causal_before_counterfactual
22,14,87,5,0,36,causal_before_counterfactual
22,15,36,12,4,29,causal_before_counterfactual
22,16,75,9,38,30,causal_before_counterfactual
22,17,98,4,1,27,causal_before_counterfactual
22,18,0,6,98,32,causal_before_counterfactual
22,19,-98,2,98,21,causal_before_counterfactual
22,20,79,1,98,22,causal_before_counterfactual
23,1,0,3,0,25,causal_before_counterfactual
23,2,0,7,0,29,causal_before_counterfactual
23,3,-100,9,85,35,causal_before_counterfactual
23,4,-100,16,100,30,causal_before_counterfactual
23,5,-100,8,100,37,causal_before_counterfactual
23,6,-100,12,100,26,causal_before_counterfactual
23,7,0,17,0,27,causal_before_counterfactual
23,8,99,18,0,28,causal_before_counterfactual
23,9,-100,14,100,40,causal_before_counterfactual
23,10,93,10,36,38,causal_before_counterfactual
23,11,-100,11,100,31,causal_before_counterfactual
23,12,0,13,100,23,causal_before_counterfactual
23,13,100,19,0,33,causal_before_counterfactual
23,14,100,15,0,32,causal_before_counterfactual
23,15,0,4,68,34,causal_before_counterfactual
23,16,44,20,55,39,causal_before_counterfactual
23,17,43,6,100,36,causal_before_counterfactual
23,18,0,5,100,24,causal_before_counterfactual
23,19,-100,2,100,22,causal_before_counterfactual
23,20,0,1,97,21,causal_before_counterfactual
24,1,-77,12,82,28,causal_before_counterfactual
24,2,-18,10,0,36,causal_before_counterfactual
24,3,-67,13,100,26,causal_before_counterfactual
24,4,-24,8,100,35,causal_before_counterfactual
24,5,-100,4,100,33,causal_before_counterfactual
24,6,-40,16,85,39,causal_before_counterfactual
24,7,-13,19,0,27,causal_before_counterfactual
24,8,83,3,0,25,causal_before_counterfactual
24,9,-44,5,100,32,causal_before_counterfactual
24,10,78,6,29,38,causal_before_counterfactual
24,11,-62,14,8,31,causal_before_counterfactual
24,12,100,17,75,37,causal_before_counterfactual
24,13,100,20,14,40,causal_before_counterfactual
24,14,98,7,0,23,causal_before_counterfactual
24,15,76,18,69,30,causal_before_counterfactual
24,16,84,11,76,34,causal_before_counterfactual
24,17,99,9,0,29,causal_before_counterfactual
24,18,48,15,100,24,causal_before_counterfactual
24,19,-54,1,100,21,causal_before_counterfactual
24,20,50,2,100,22,causal_before_counterfactual
25,1,-5,9,65,34,causal_before_counterfactual
25,2,-57,18,18,38,causal_before_counterfactual
25,3,-71,6,25,28,causal_before_counterfactual
25,4,-69,4,15,23,causal_before_counterfactual
25,5,-67,15,88,37,causal_before_counterfactual
25,6,-50,11,26,25,causal_before_counterfactual
25,7,-6,20,26,30,causal_before_counterfactual
25,8,84,8,30,27,causal_before_counterfactual
25,9,7,5,84,31,causal_before_counterfactual
25,10,-5,19,69,29,causal_before_counterfactual
25,11,-56,10,66,32,causal_before_counterfactual
25,12,85,7,83,35,causal_before_counterfactual
25,13,98,14,29,24,causal_before_counterfactual
25,14,-6,3,9,40,causal_before_counterfactual
25,15,55,16,23,39,causal_before_counterfactual
25,16,-4,12,80,26,causal_before_counterfactual
25,17,98,17,79,33,causal_before_counterfactual
25,18,54,13,55,36,causal_before_counterfactual
25,19,-76,2,16,21,causal_before_counterfactual
25,20,76,1,47,22,causal_before_counterfactual
26,1,0,6,0,25,causal_before_counterfactual
26,2,0,18,0,26,causal_before_counterfactual
26,3,-91,20,100,24,causal_before_counterfactual
26,4,-83,14,0,32,causal_before_counterfactual
26,5,-92,16,100,27,causal_before_counterfactual
26,6,-97,12,100,39,causal_before_counterfactual
26,7,11,4,0,37,causal_before_counterfactual
26,8,93,13,0,33,causal_before_counterfactual
26,9,-90,3,100,38,causal_before_counterfactual
26,10,2,10,24,23,causal_before_counterfactual
26,11,-78,15,100,30,causal_before_counterfactual
26,12,3,8,0,34,causal_before_counterfactual
26,13,75,7,0,28,causal_before_counterfactual
26,14,100,5,0,31,causal_before_counterfactual
26,15,0,9,100,36,causal_before_counterfactual
26,16,67,17,4,29,causal_before_counterfactual
26,17,0,19,100,40,causal_before_counterfactual
26,18,0,11,100,35,causal_before_counterfactual
26,19,-100,2,100,22,causal_before_counterfactual
26,20,-22,1,100,21,causal_before_counterfactual
27,1,-86,7,21,29,causal_before_counterfactual
27,2,0,15,25,27,causal_before_counterfactual
27,3,-80,3,80,26,causal_before_counterfactual
27,4,-87,13,79,33,causal_before_counterfactual
27,5,-71,9,87,36,causal_before_counterfactual
27,6,0,11,82,32,causal_before_counterfactual
27,7,-64,12,19,28,causal_before_counterfactual
27,8,53,18,14,31,causal_before_counterfactual
27,9,-71,4,85,35,causal_before_counterfactual
27,10,32,19,71,23,causal_before_counterfactual
27,11,-62,8,71,25,causal_before_counterfactual
27,12,-80,10,87,39,causal_before_counterfactual
27,13,87,14,22,38,causal_before_counterfactual
27,14,29,16,17,34,causal_before_counterfactual
27,15,80,6,90,24,causal_before_counterfactual
27,16,67,20,22,30,causal_before_counterfactual
27,17,90,17,88,40,causal_before_counterfactual
27,18,79,5,89,37,causal_before_counterfactual
27,19,64,1,88,22,causal_before_counterfactual
27,20,62,2,83,21,causal_before_counterfactual
28,1,0,14,0,40,causal_before_counterfactual
28,2,0,12,0,30,causal_before_counterfactual
28,3,-98,7,97,37,causal_before_counterfactual
28,4,-100,17,65,28,causal_before_counterfactual
28,5,-53,9,21,32,causal_before_counterfactual
28,6,-50,5,2,39,causal_before_counterfactual
28,7,0,11,0,31,causal_before_counterfactual
28,8,-97,13,44,29,causal_before_counterfactual
28,9,-50,8,27,33,causal_before_counterfactual
28,10,47,10,95,34,causal_before_counterfactual
28,11,-11,3,75,24,causal_before_counterfactual
28,12,56,4,0,26,causal_before_counterfactual
28,13,100,16,14,35,causal_before_counterfactual
28,14,84,20,1,38,causal_before_counterfactual
28,15,24,6,100,25,causal_before_counterfactual
28,16,37,15,74,27,causal_before_counterfactual
28,17,86,19,7,36,causal_before_counterfactual
28,18,54,18,29,23,causal_before_counterfactual
28,19,0,1,100,22,causal_before_counterfactual
28,20,45,2,75,21,causal_before_counterfactual
29,1,-100,5,28,26,causal_before_counterfactual
29,2,-100,7,50,40,causal_before_counterfactual
29,3,-100,19,32,36,causal_before_counterfactual
29,4,-100,16,29,23,causal_before_counterfactual
29,5,-100,8,51,34,causal_before_counterfactual
29,6,-73,9,78,27,causal_before_counterfactual
29,7,0,13,23,35,causal_before_counterfactual
29,8,100,18,80,30,causal_before_counterfactual
29,9,-100,15,91,31,causal_before_counterfactual
29,10,100,20,85,25,causal_before_counterfactual
29,11,-100,12,82,32,causal_before_counterfactual
29,12,100,11,93,33,causal_before_counterfactual
29,13,100,17,50,29,causal_before_counterfactual
29,14,0,4,87,24,causal_before_counterfactual
29,15,100,6,92,28,causal_before_counterfactual
29,16,100,3,83,39,causal_before_counterfactual
29,17,100,10,85,38,causal_before_counterfactual
29,18,100,14,76,37,causal_before_counterfactual
29,19,100,1,87,22,causal_before_counterfactual
29,20,100,2,15,21,causal_before_counterfactual
30,1,-13,19,97,25,causal_before_counterfactual
30,2,-18,16,76,34,causal_before_counterfactual
30,3,-92,17,24,28,causal_before_counterfactual
30,4,-91,11,20,37,causal_before_counterfactual
30,5,39,13,72,29,causal_before_counterfactual
30,6,25,3,75,38,causal_before_counterfactual
30,7,-21,14,75,23,causal_before_counterfactual
30,8,-24,12,99,24,causal_before_counterfactual
30,9,-25,18,25,27,causal_before_counterfactual
30,10,18,10,10,35,causal_before_counterfactual
30,11,-5,20,100,36,causal_before_counterfactual
30,12,28,6,78,40,causal_before_counterfactual
30,13,78,4,95,31,causal_before_counterfactual
30,14,31,9,26,26,causal_before_counterfactual
30,15,11,7,9,33,causal_before_counterfactual
30,16,-20,15,27,30,causal_before_counterfactual
30,17,60,8,97,32,causal_before_counterfactual
30,18,-45,5,12,39,causal_before_counterfactual
30,19,-82,1,63,21,causal_before_counterfactual
30,20,100,2,24,22,causal_before_counterfactual
31,1,-73,9,0,37,causal_before_counterfactual
31,2,-100,5,4,24,causal_before_counterfactual
31,3,-86,7,0,39,causal_before_counterfactual
